,Date,Label
0,2020-01-29,1
1,2020-01-30,1
2,2020-01-31,1
3,2020-02-01,1
4,2020-02-03,5
5,2020-02-04,1
6,2020-02-05,3
7,2020-02-06,1
8,2020-02-09,2
9,2020-02-10,5
10,2020-02-11,5
11,2020-02-12,5
12,2020-02-13,2
13,2020-02-14,2
14,2020-02-15,1
15,2020-02-16,1
16,2020-02-17,1
17,2020-02-18,1
18,2020-02-19,3
19,2020-02-20,2
20,2020-02-21,5
21,2020-02-22,5
22,2020-02-23,5
23,2020-02-25,1
24,2020-02-26,1
25,2020-02-28,3
26,2020-02-29,2
27,2020-03-02,3
28,2020-03-03,5
29,2020-03-04,1
30,2020-03-07,1
31,2020-03-08,5
32,2020-03-09,1
33,2020-03-10,5
34,2020-03-11,5
35,2020-03-12,5
36,2020-03-13,5
37,2020-03-14,5
38,2020-03-15,5
39,2020-03-16,5
40,2020-03-17,5
41,2020-03-18,5
42,2020-10-14,1
43,2020-10-15,1
44,2020-10-16,1
45,2020-10-17,1
46,2020-10-18,1
47,2020-10-19,1
48,2020-10-22,1
49,2020-10-23,1
50,2020-10-24,3
51,2020-10-25,5
52,2020-10-26,3
53,2020-10-27,1
54,2020-10-29,1
55,2020-10-30,1
56,2020-10-31,2
57,2020-11-01,3
58,2020-11-02,3
59,2020-11-03,1
60,2020-11-04,1
61,2020-11-05,2
62,2020-11-07,3
63,2020-11-08,2
64,2020-11-09,3
65,2020-11-10,1
66,2020-11-11,1
67,2020-11-12,5
68,2020-11-13,3
69,2020-11-14,1
70,2020-11-15,1
71,2020-11-16,1
72,2020-11-17,1
73,2020-11-18,1
74,2020-11-21,2
75,2020-11-22,2
76,2020-11-23,1
77,2020-11-24,1
78,2020-11-25,1
79,2020-11-26,1
80,2020-11-27,1
81,2020-11-28,1
82,2020-11-29,1
83,2020-11-30,1
84,2020-12-01,1
85,2020-12-04,1
86,2020-12-06,1
87,2020-12-07,2
88,2020-12-08,2
89,2020-12-09,1
90,2020-12-10,5
91,2020-12-12,1
92,2020-12-13,1
93,2020-12-14,2
94,2020-12-15,1
95,2020-12-16,1
96,2020-12-17,2
97,2020-12-19,1
98,2020-12-20,1
99,2020-12-21,1
100,2020-12-22,3
101,2020-12-24,5
102,2020-12-25,2
103,2020-12-26,1
104,2020-12-28,2
105,2020-12-29,3
106,2020-12-30,1
107,2020-12-31,5
108,2021-01-02,2
109,2021-01-03,1
110,2021-01-04,1
111,2021-01-05,1
112,2021-01-06,1
113,2021-01-07,1
114,2021-01-08,1
115,2021-01-09,1
116,2021-01-10,1
117,2021-01-11,1
118,2021-01-13,1
119,2021-01-15,1
