,Date,Label
0,2020-01-29,0
1,2020-01-30,2
2,2020-01-31,0
3,2020-02-01,0
4,2020-02-03,4
5,2020-02-04,0
6,2020-02-05,3
7,2020-02-06,0
8,2020-02-09,2
9,2020-02-10,4
10,2020-02-11,4
11,2020-02-12,4
12,2020-02-13,0
13,2020-02-14,0
14,2020-02-15,0
15,2020-02-16,0
16,2020-02-17,0
17,2020-02-18,0
18,2020-02-19,2
19,2020-02-20,2
20,2020-02-21,4
21,2020-02-22,4
22,2020-02-23,4
23,2020-02-25,0
24,2020-02-26,0
25,2020-02-28,2
26,2020-02-29,3
27,2020-03-02,4
28,2020-03-03,4
29,2020-03-04,0
30,2020-03-07,0
31,2020-03-08,4
32,2020-03-09,0
33,2020-03-10,4
34,2020-03-11,4
35,2020-03-12,4
36,2020-03-13,4
37,2020-03-14,4
38,2020-03-15,4
39,2020-03-16,4
40,2020-03-17,4
41,2020-03-18,4
42,2020-10-14,0
43,2020-10-15,0
44,2020-10-16,0
45,2020-10-17,0
46,2020-10-18,0
47,2020-10-19,2
48,2020-10-22,0
49,2020-10-23,0
50,2020-10-24,1
51,2020-10-25,1
52,2020-10-26,3
53,2020-10-27,0
54,2020-10-29,2
55,2020-10-30,0
56,2020-10-31,0
57,2020-11-01,3
58,2020-11-02,4
59,2020-11-03,0
60,2020-11-04,0
61,2020-11-05,0
62,2020-11-07,1
63,2020-11-08,3
64,2020-11-09,1
65,2020-11-10,0
66,2020-11-11,0
67,2020-11-12,4
68,2020-11-13,4
69,2020-11-14,0
70,2020-11-15,0
71,2020-11-16,0
72,2020-11-17,0
73,2020-11-18,0
74,2020-11-21,2
75,2020-11-22,0
76,2020-11-23,0
77,2020-11-24,0
78,2020-11-25,0
79,2020-11-26,0
80,2020-11-27,0
81,2020-11-28,0
82,2020-11-29,0
83,2020-11-30,2
84,2020-12-01,0
85,2020-12-04,0
86,2020-12-06,0
87,2020-12-07,2
88,2020-12-08,2
89,2020-12-09,0
90,2020-12-10,4
91,2020-12-12,0
92,2020-12-13,0
93,2020-12-14,0
94,2020-12-15,0
95,2020-12-16,0
96,2020-12-17,0
97,2020-12-19,0
98,2020-12-20,0
99,2020-12-21,0
100,2020-12-22,3
101,2020-12-24,4
102,2020-12-25,2
103,2020-12-26,0
104,2020-12-28,1
